Team,Year,Active Players,Forwards,Midfielders,Defenders,Goalkeepers,Transfer Fee,Est. Total Salary,Avg Salary per player,Finishing Position,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Difference,Points,PoundsSpentPerPoint
Manchester United,2019,28,37740000.0,48620000.0,46535000.0,24700000.0,179060000.0,157595000.0,5628393.0,6,38,19,9,10,65,54,11,66,2387803.03
Manchester United,2020,30,44720000.0,56420000.0,52415000.0,29900000.0,68750000.0,183455000.0,6115167.0,3,38,18,12,8,66,36,30,66,2779621.21
Newcastle United,2018,24,13208000.0,12844000.0,15392000.0,4732000.0,23230000.0,46176000.0,1924000.0,10,38,12,8,18,39,47,-8,44,1049454.55
Newcastle United,2019,25,14848000.0,11441000.0,18496000.0,4576000.0,83680000.0,49361000.0,1974440.0,13,38,12,9,17,42,48,-6,45,1096911.11
Newcastle United,2020,28,19913600.0,11917000.0,20979600.0,3876000.0,63150000.0,56686200.0,2024507.0,13,38,11,11,16,38,58,-20,44,1288322.73
Sheffield United,2020,28,6351600.0,3998400.0,6617800.0,2741000.0,51150000.0,19708800.0,703886.0,9,38,14,12,12,39,39,0,54,364977.78
Southampton,2020,24,15810000.0,12080000.0,14836000.0,7340000.0,44330000.0,50066000.0,2086083.0,11,38,15,7,16,51,60,-9,52,962807.69
Southampton,2019,22,12040000.0,18356000.0,16380000.0,4680000.0,62250000.0,51456000.0,2338909.0,16,38,9,12,17,45,65,-20,39,1319384.62
Southampton,2017,28,18096000.0,22152000.0,16442400.0,5720000.0,55250000.0,64490400.0,2303229.0,8,38,12,10,16,41,48,-7,46,1401965.22
Southampton,2018,24,23140000.0,17420000.0,21216000.0,8320000.0,55300000.0,70096000.0,2920667.0,17,38,7,15,16,37,56,-19,36,1947111.11
Stoke City,2017,29,13468000.0,17940000.0,16952000.0,3900000.0,45320000.0,52260000.0,1802069.0,13,38,11,11,16,41,56,-15,44,1187727.27
Swansea City,2017,22,7280000.0,19604000.0,10816000.0,4940000.0,41610000.0,42640000.0,1938182.0,15,38,12,5,21,45,70,-25,41,1040000.0
Tottenham Hotspur,2017,25,15470000.0,27300000.0,27898000.0,8320000.0,106440000.0,78988000.0,3159520.0,2,38,26,8,4,86,26,60,86,918465.12
Tottenham Hotspur,2018,23,23348000.0,30680000.0,23998000.0,8320000.0,,86346000.0,3754174.0,3,38,23,8,7,74,36,38,77,1121376.62
Tottenham Hotspur,2019,25,21480000.0,37440000.0,24778000.0,6440000.0,132180000.0,90138000.0,3605520.0,4,38,23,2,13,67,39,28,71,1269549.3
Tottenham Hotspur,2020,29,62600000.0,35055200.0,25020000.0,9140000.0,118250000.0,131815200.0,4545352.0,6,38,16,11,11,61,47,14,59,2234155.93
Watford,2019,22,12636000.0,14456000.0,12272000.0,3380000.0,,42744000.0,1942909.0,11,38,14,8,16,52,59,-7,50,854880.0
Watford,2017,32,13104000.0,12064000.0,15864000.0,3120000.0,56820000.0,44594000.0,1393562.0,17,38,11,7,20,40,68,-28,40,1114850.0
Watford,2018,23,13520000.0,14040000.0,15812000.0,3380000.0,17800000.0,46752000.0,2032696.0,14,38,11,8,19,44,64,-20,41,1140292.68
West Bromwich Albion,2017,27,16432000.0,24752000.0,12064000.0,4576000.0,33780000.0,57824000.0,2141630.0,10,38,12,9,17,43,51,-8,45,1284977.78
West Ham United,2020,24,23900000.0,13656000.0,19764000.0,6280000.0,24420000.0,63600000.0,2650000.0,16,38,10,9,19,49,62,-13,39,1630769.23
West Ham United,2019,27,16980000.0,30020000.0,19140000.0,6280000.0,119460000.0,72420000.0,2682222.0,10,38,15,7,16,52,55,-3,52,1392692.31
West Ham United,2017,29,11960000.0,23868000.0,24180000.0,8632000.0,51010000.0,75400000.0,2600000.0,11,38,12,9,17,47,64,-17,45,1675555.56
West Ham United,2018,25,22100000.0,34476000.0,22464000.0,5980000.0,87900000.0,85020000.0,3400800.0,13,38,10,12,16,48,68,-20,42,2024285.71
Wolverhampton Wanderers,2019,26,14516000.0,17082000.0,13247000.0,5200000.0,132140000.0,50045000.0,1924808.0,7,38,16,9,13,47,46,1,57,877982.46
Wolverhampton Wanderers,2020,24,17532000.0,12480000.0,19229000.0,5500000.0,89980000.0,54741000.0,2280875.0,7,38,15,14,9,51,40,11,59,927813.56
